Designator,Mid X,Mid Y,Rotation,Layer
_41,199.39,-124.49,270.0,top
_40,209.55,-124.49,270.0,top
_39,176.53,-124.49,270.0,top
_38,168.91,-124.49,270.0,top
_37,181.61,-124.49,270.0,top
_36,196.85,-124.49,270.0,top
_35,207.01,-124.49,270.0,top
_34,179.07,-124.49,270.0,top
_33,194.31,-124.49,270.0,top
_32,189.23,-124.49,270.0,top
_31,201.93,-124.49,270.0,top
_30,161.29,-124.49,270.0,top
_29,166.37,-124.49,270.0,top
_28,156.21,-119.4,270.0,top
_27,186.69,-124.49,270.0,top
_26,204.47,-124.49,270.0,top
_25,184.15,-124.49,270.0,top
_24,173.99,-124.49,270.0,top
_23,163.83,-124.49,270.0,top
_22,171.45,-124.49,270.0,top
_21,148.59,-119.4,270.0,top
_20,151.13,-119.4,270.0,top
_19,156.21,-121.95,270.0,top
_18,151.13,-121.95,270.0,top
_17,153.67,-121.95,270.0,top
_16,153.67,-119.4,270.0,top
_15,158.75,-119.4,270.0,top
_14,146.05,-119.4,270.0,top
_13,148.59,-121.95,270.0,top
_12,158.75,-121.95,270.0,top
_11,153.67,-124.49,270.0,top
_10,156.21,-124.49,270.0,top
_9,146.05,-124.49,270.0,top
_8,146.05,-121.95,270.0,top
_7,158.75,-124.49,270.0,top
_6,148.59,-124.49,270.0,top
_5,151.13,-124.49,270.0,top
_4,143.51,-119.4,270.0,top
_3,143.51,-121.95,270.0,top
_2,212.08,-78.76,0.0,top
,212.09,-81.3,0.0,top
BOOT,122.385,-112.835,0.0,top
C1,120.39,-85.0,0.0,top
C2,120.39,-87.51,0.0,top
C3,133.635,-115.9,0.0,top
C4,122.595,-115.68,0.0,top
C6,133.35,-83.755,90.0,top
C7,129.0,-83.75,90.0,top
D1,122.34,-98.5,0.0,top
D2,135.21,-90.4475,90.0,top
J1,115.57,-93.345,0.0,top
J3,138.43,-93.345,0.0,top
JUSB1,127.4,-124.45,0.0,top
R1,131.36,-118.64,0.0,top
R2,123.13,-118.62,180.0,top
R3,129.815,-115.91,180.0,top
R6,128.99,-87.07,90.0,top
R7,131.53,-87.9,180.0,top
R8,135.2,-87.115,270.0,top
RESET,132.125,-112.875,0.0,top
U1,127.0,-73.167,0.0,top
U2,126.664107,-118.4275,270.0,top
U3,131.1875,-85.44,0.0,top
